person_id,political_party
16207,d
16204,r
16202,d
16201,r
16200,d
16199,r
16198,r
16197,r
8392,r
16195,d
16193,r
16192,r
16191,r
16190,r
16188,r
8391,r
16186,r
16185,r
16184,r
16182,r
16181,r
16180,r
16179,d
16176,d
16175,r
16174,r
16173,d
16172,d
16170,r
16169,r
16168,r
16166,r
16165,r
16163,d
16162,r
16160,d
16159,d
16158,r
16157,d
16156,d
16155,d
16153,d
16151,r
16149,r
16148,r
16146,r
16143,d
16141,r
16140,r
16139,r
16138,d
16136,d
16135,d
16134,d
16130,r
16127,r
16125,d
16123,r
16122,r
16121,d
16120,d
16119,d
16118,r
16116,r
16115,r
16113,d
15935,d
16110,d
16109,r
16108,r
16106,r
16105,r
16104,d
16100,r
15967,d
16097,r
16096,d
16095,r
16094,r
16092,r
16091,r
16088,r
16087,r
16085,d
16084,r
16083,d
16081,d
16080,d
16079,d
16077,r
16075,r
16074,r
16072,d
16070,d
16069,r
16067,r
16066,d
16065,r
16064,r
16063,d
16061,r
16059,d
16058,r
16057,r
16054,d
16053,d
16049,d
16048,r
16047,d
16045,r
16042,r
16041,r
16040,d
16038,r
16037,r
16036,r
16035,d
16034,d
16033,d
16032,r
16031,d
16029,d
16028,d
16027,d
16026,r
16023,r
16022,r
16021,d
16020,r
16019,r
16018,d
16017,d
16016,r
16014,d
8377,d
16013,d
16011,r
16010,r
16008,r
16007,r
16006,r
16005,r
16003,d
16001,d
16000,d
15996,r
15995,r
15994,d
15993,r
15992,d
15991,d
15990,d
15988,d
15986,d
15985,d
15984,d
15983,r
15982,r
8373,r
15980,r
8372,r
15978,d
15977,d
15976,r
15974,d
15973,d
15972,r
15971,r
15969,d
15968,d
15966,d
15964,r
15963,d
15961,r
15960,r
15959,r
15957,d
15956,d
15955,d
15951,d
15950,d
15949,d
15947,r
15944,d
15943,r
15942,d
15941,r
15936,d
15932,d
15929,d
15927,r
15926,d
15925,r
15924,d
15922,r
15920,r
15919,d
15917,r
15914,r
15913,r
15911,r
15910,d
15909,r
15908,d
15907,d
8366,r
15763,r
15905,r
15903,d
15902,r
15900,d
8364,r
15898,r
15897,r
15895,d
15893,r
15892,d
15891,r
15890,d
15889,r
15886,d
15884,d
15883,r
15877,d
15876,r
15874,r
15873,d
15871,r
15870,d
15868,r
15867,r
15866,d
15865,r
15863,d
15861,r
15860,d
15859,r
15856,r
15855,r
15852,r
15851,d
15849,r
15848,r
15847,r
15846,r
15844,r
15842,r
15840,d
15839,d
15838,r
15835,d
15833,r
15832,d
15831,d
15830,r
15829,d
15632,d
15827,r
15825,d
15823,d
15821,r
15819,d
15817,d
15816,d
15812,d
15811,d
8357,d
15809,d
15808,d
15807,d
15806,r
15801,r
15798,r
15794,d
15793,r
15791,d
15790,r
15789,r
15787,d
8351,r
15784,r
15783,r
15781,r
15780,r
15779,d
15777,r
15776,r
15774,r
15772,r
15771,r
15770,d
15769,r
15767,d
15766,d
15760,d
15757,d
15756,d
15755,d
15754,d
15752,d
15750,r
15749,d
15748,d
15746,r
15526,r
15742,d
15740,d
15739,d
15738,r
15736,r
15735,d
15732,d
15731,r
15729,d
15728,r
15726,r
15724,r
15723,d
15722,r
15721,d
15720,r
15718,r
15717,d
15716,r
15714,r
15713,d
15711,r
15709,r
15708,d
15707,r
15704,d
15703,d
15702,r
15701,r
15699,r
15698,d
15697,d
15696,d
15695,d
15693,d
15691,r
15690,r
15688,r
15686,r
15685,d
15684,r
15683,d
15682,d
15680,d
15679,d
15676,d
15675,d
15673,r
15672,r
15671,r
15670,r
15668,d
15667,d
15666,r
15664,d
15663,r
15662,d
15659,r
15658,d
15657,r
15656,d
15655,d
15653,r
15652,r
15651,d
15649,d
15648,r
15647,r
15645,r
15644,d
15642,r
15639,d
15638,r
15636,r
15635,r
15633,d
8320,r
15631,r
15630,d
15627,r
15625,r
15624,d
15622,r
15620,d
15619,r
15617,r
15616,r
15614,d
15613,r
