person_id,political_party
996,r
995,r
994,r
993,d
992,r
990,d
989,d
988,r
987,d
986,d
985,d
984,r
983,d
982,r
981,d
980,r
979,d
978,d
977,r
976,j
975,d
974,d
973,r
972,r
971,d
970,r
969,r
968,d
967,d
966,d
965,d
964,r
963,r
962,d
961,d
960,r
959,r
958,d
957,r
956,d
955,d
954,d
953,r
952,r
951,r
950,j
949,d
948,d
947,d
946,r
945,r
944,r
943,d
942,d
941,d
940,r
939,r
938,d
937,r
936,d
935,r
934,r
933,d
932,r
931,d
930,r
929,r
928,r
927,j
926,r
925,r
924,r
922,d
921,r
920,d
919,d
918,d
917,r
915,j
914,r
913,d
912,r
911,d
910,d
909,d
908,d
907,r
906,r
905,r
904,d
903,r
902,r
901,d
900,r
899,d
898,d
897,d
896,r
895,d
894,d
893,r
892,d
891,d
890,d
889,d
888,r
887,r
886,d
885,d
884,r
883,d
882,r
881,d
880,r
879,d
878,d
877,r
876,r
875,r
874,d
873,d
872,d
871,d
870,r
869,j
868,r
867,d
866,r
865,d
864,r
863,r
862,d
861,r
860,d
859,r
858,d
857,r
856,d
855,r
854,r
853,r
852,r
851,d
850,d
849,r
848,r
847,d
846,d
845,r
844,d
843,d
842,r
841,r
840,d
839,d
838,r
837,r
836,r
835,r
834,r
833,r
832,d
831,d
830,r
829,r
828,r
827,r
826,r
825,d
824,d
823,d
822,r
821,r
820,r
819,r
818,r
817,d
816,r
815,f
814,d
813,d
812,r
811,r
810,d
809,d
808,d
807,d
806,j
805,r
804,r
803,d
802,d
801,r
800,d
799,d
798,d
797,d
796,d
795,r
794,d
793,d
792,d
791,r
790,d
789,r
788,d
787,r
786,d
785,r
784,r
783,d
782,r
781,j
780,r
778,d
777,w
776,d
775,d
774,r
773,d
772,d
771,d
770,r
769,d
768,r
767,r
766,r
765,r
764,r
763,r
762,d
761,j
760,j
759,d
758,d
757,d
756,r
755,j
754,d
753,d
752,d
751,r
750,r
749,r
748,d
747,r
746,r
745,r
744,r
743,r
742,r
741,r
740,d
739,d
738,r
737,d
736,r
735,r
734,r
733,d
732,r
731,d
730,r
729,r
728,d
727,d
726,d
725,r
724,r
723,d
722,d
721,d
720,d
719,d
718,d
717,r
716,d
715,r
714,r
713,r
712,r
711,r
710,d
709,r
708,r
707,r
706,r
705,r
704,r
703,d
702,r
701,r
700,r
699,d
698,r
697,r
696,d
695,j
694,d
693,d
692,r
691,d
690,d
689,d
688,r
687,r
686,r
685,d
684,d
683,d
682,d
681,d
680,r
679,d
678,d
677,r
676,d
675,d
674,r
673,d
672,d
671,r
670,r
669,d
668,r
667,d
666,d
665,d
664,r
663,r
662,d
661,d
660,r
659,r
658,r
657,r
656,d
655,r
654,r
653,d
652,d
651,r
650,d
649,r
648,d
647,r
646,r
645,d
644,d
642,d
641,d
640,r
639,r
638,d
637,d
636,d
635,d
634,d
633,r
632,r
631,d
630,d
629,d
628,r
627,d
626,d
625,d
624,d
623,r
622,d
621,d
620,d
619,r
618,d
617,d
616,d
615,r
614,d
613,d
612,r
611,r
610,r
609,r
607,d
606,r
605,d
604,d
603,r
602,d
601,r
600,r
599,r
598,d
597,d
596,d
595,d
594,r
592,r
591,r
590,d
589,d
588,r
587,d
586,d
585,d
584,r
583,r
582,d
581,r
580,d
579,r
578,r
577,r
576,d
575,r
574,d
573,r
572,r
571,r
570,d
569,r
568,d
567,r
566,d
565,d
564,r
563,d
562,r
561,d
560,r
559,d
558,r
557,r
556,d
555,d
554,r
553,d
552,d
551,r
550,d
549,d
548,d
547,d
546,d
545,d
544,r
543,r
542,d
541,r
540,d
539,r
538,r
537,r
536,r
535,r
534,r
533,d
532,d
531,r
530,d
