person_id,political_party,source,location,purpose,items_paid_or_provided
996,r,Houston Bar Association,"Houston, TX",CLE Presentation to the Federal Practice Section of the Houston Bar Association,Transportation
996,r,The Federalist Society,"9 Washington, DC",Panel Moderator at The Federalist Society National Lawyers Convention,"Transportation, Meals, Hotel"
996,r,Administrative Office of the United States Courts,,,"June 7-9. 2006 Bar Harbor, ME Federal-State Jurisdiction Committee Meeting (Transportation, Meals, Lodging)"
996,r,Institute,,Hour Claims and Class Actions,Pe I Ch NT
996,r,,,the New Orleans Chapter of the FBA,
996,r,Institute,,Admiralty & Mantime Claims & Litigation,CO TRON NUE TTS ang ra aes A de git.riegersd
996,r,Workers' Compensation Judiciary,,Compensation Educational Conference,pp rg reader al Ret ma Sal
996,r,THE Te yes,,Federalist Debate Judicial Education Seminar,Tr LY YL
990,d,Order of Coif,"Washington, D.C.",Committee Meeting,Transportation / Meals / Lodging
990,d,Order of Coif,"New Orleans, LA",Committee Meeting,Transportation / Meals / Lodging
990,d,Order of Coif,"New York, NY",Meeting of Executive Com m,"Reimbursement of travel, some meals and lodging to attend meeting"
990,d,University of Texas,"Austin, Texas",Conf. on Jud. Clerkship,Transportation/meals/lodging
990,d,Yale Law School,"New Haven, CT",Moot Court,Transportation /meals/lodging
990,d,Texas Bar Association,"Austin, Texas",Seminar for Labor and Em p,Transportation
990,d,American Constitution Society,Columbia. OH,"Jane’ at Oo State ""Jniv",ransportation/mea 8/ odging
990,d,Texas Bar Association,,,"Austin, Texas"
990,d,Texas Bar Association,,,"San Antonio, Texas"
990,d,Aspen Institute,"Manhasset, NY",Conf. on national security issues facing the judiciary,Transportation/mcals/lodging
990,d,Order of Coif,"San Francisco, CA",Exec. Comm. Mecting,Transportation/Mcals/Lodging
990,d,National Academy of Science,,,"Reimbursement of travel, some meals and some lodging to attend conference on use of DNA (Washington D.C. December 18-19, 2006)"
990,d,National Forensic Science Technology Center,,,"Reimbursement of travel, some meals and some lodging to attend conference on use of DNA (near San Francisco, CA August 27-30, 2005)"
990,d,Order of Coif,New Orleans,Exec. Comm. Meeting,Transportation/Meals/Lodging
990,d,Order of Coit,"San Francisco, CA",Committee Meeting,Transportation / Meals / Lodging
990,d,Order of Coif,"San Francisco, CA",Exec. Comm. Meeting,Transportation/Meals/Lodging
990,d,Order of Cont,"New York, NY",Exeuctive Committee Meeting,Transportation / Meals / Lodging
990,d,Order of Coit,"Washington, D.C",Committee Meeting,Transportation / Meals / Lodging
990,d,Stanford Law School,"Palo Alto, CA",To serve is a moot court judge,Transportation / Meals / Lodging
990,d,Order of Coit,"New Orleans, LA",Exec. Comm. Meeting,Transportation/Meals/Lodging
990,d,Order of Coit,"Washington, D.C",Committee Meeting,Transportation / Meals / Lodging
990,d,University of Texas School of Law,"Austin, TX",Conference on death penalty,Transportation / Meals / Lodging
990,d,Order of Coit,"San Diego, CA",Committee Meeting,Transportation / Meals / Lodging
990,d,Order of Coit,Washington D.C,Exec. Comm. Meeting,Transportation/Meals/Lodging
988,r,Colorado Bar Association CLE,,,Snowmass. Colorado
988,r,Villanova University School of Law,"Villanova, PA",Seminar (speaker),food/lodging/travel
988,r,American Intellectual Property Law Association,,,"National Academies Intellectual Property Program (Speaker) - Washington, D.C. - June 2005 - travel"
988,r,Duke University Law School Center for Judicial Studies,"Durham, NC",Cave presentation,Air ture and lodging expenses
988,r,Princeton University Program in Law and Public Affairs,"Princeton, NJ",Cave presentation,"Meals, lodging, and travel"
988,r,Bloomberg BNA,"Washington, DC",Crave presentation,Travel
987,d,Loyola University Chicago School of Law,"Rome, Italy",Teaching,Airfare
987,d,Univeristy of Miami,"Miami, FL",Seminar,"Travel, meals, lodging"
987,d,Loyola Umversity School of Law,"Rome, laly",Teaching,Lodgmg
980,r,FREE Foundation,,,"8/5-10/03, Bozeman, MT, Educational Seminar, (Airfare, lodging and meals)"
980,r,FREE Foundation,,,"8/12/06-8/18/07, Bozeman, Montana, Educational Seminar (Airfare, lodging and meals)"
980,r,Florida Bar Association,,,"6/22-24/05 Orlando, Florida, (Speaker at Meeting) (Airfare, lodging and meals)"
980,r,FREE Foundation,,,"4/19-24/05 Shepherdstown, West Virginia, Educational Seminar (Airfare, lodging and meals)"
980,r,George Mason University Law School,,,"4/7-4/13/05 Tucson, Arizona, Educational Seminar (Airfare, lodging and meals)"
980,r,,,oA NANA WAS A,
980,r,George Mason University Law School Blink decide iil Sonn on SR,,,"46-613/04 Sante Fe, New Mexico, Educational Seminar (Airfare, lodging and meals)"
980,r,FREE Foundation,,,"7/6-7/11/04 Bozeman, MT, Educational Seminar, (Airfare, lodging and meals)"
980,r,"University, Princeton, New Jersey",yhiony,Federal Judges,
980,r,George Mason University Law School,"San Diego, California",Educational Seminar,"Airfare, lodging and meals"
980,r,FREE Foundation,,,"(07 Bozeman, Montana"
978,d,GEORGE MASON UNIVERSITY,,,"2006, Seminar for Judges (travel, food, lodging)"
978,d,"NONE (No reportable income, ass",S.),,
978,d,George Mason University,,,"San Diego, California October 7-10, 2004 Seminar for Judges (travel, food, lodging)"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
